"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.001789048E-2,-7.669353485E-2,-2.094326019E-1,2.232583059E-1
1.013146100E-2,-1.166870072E-2,-6.984710693E-2,-2.134389877E-1,2.248799200E-1
1.998400000E-2,-1.416963711E-2,-1.146044731E-1,9.915351868E-3,1.159020193E-1
3.000300000E-2,-1.681679115E-2,-1.053867340E-1,4.547119141E-3,1.068168735E-1
4.018400000E-2,6.752867997E-2,-1.682934761E-1,3.631019592E-1,4.058643240E-1
4.998792300E-2,6.540806592E-2,-1.574630737E-1,3.568229675E-1,3.954686648E-1
6.024169200E-2,-1.223411486E-1,-1.707019806E-1,3.667497635E-1,4.226250251E-1
7.001461500E-2,-5.725117028E-2,-1.302509308E-1,2.797117233E-1,3.138178606E-1
8.000253800E-2,-5.768921226E-2,-1.223144531E-1,2.751369476E-1,3.065765983E-1
9.001576900E-2,-6.312347949E-2,-7.167530060E-2,2.407417297E-1,2.589951791E-1
1.003666150E-1,-6.355997175E-2,-6.443977356E-2,2.365884781E-1,2.533109993E-1
1.099992300E-1,5.389291048E-2,-4.863929749E-2,9.012031555E-2,1.157233699E-1
1.199852300E-1,5.347928405E-2,-4.311561584E-2,8.696269989E-2,1.108219352E-1
1.300181540E-1,1.199694052E-1,-8.065462112E-2,2.188253403E-1,2.622639046E-1
1.399883840E-1,-1.023937464E-1,-4.405641556E-2,9.461498260E-2,1.462102663E-1
1.511632300E-1,-9.871535003E-2,-4.005956650E-2,9.230136871E-2,1.409575534E-1
1.600305380E-1,-7.828354836E-2,3.269815445E-2,-2.923088074E-1,3.043713556E-1
1.699916920E-1,-7.302518934E-2,3.419923782E-2,-2.932071686E-1,3.040932585E-1
1.800800000E-1,-3.080532700E-2,7.027769089E-2,-1.939907074E-1,2.086152357E-1
1.903632300E-1,5.456864834E-3,1.024436951E-2,2.801628113E-1,2.804031478E-1
2.003506150E-1,5.454432219E-3,2.017259598E-2,2.745342255E-1,2.753283956E-1
2.099916150E-1,-5.350472778E-2,-3.460359573E-2,6.693172455E-1,6.723434686E-1
2.199839230E-1,-5.346216261E-2,-2.349758148E-2,6.630535126E-1,6.656202368E-1
2.300850770E-1,7.369542122E-2,-1.849174500E-3,4.997434616E-1,5.051514248E-1
2.399988460E-1,7.601919025E-2,3.877639771E-3,4.965124130E-1,5.023131789E-1
2.503535380E-1,-6.436825544E-2,6.062650681E-2,-2.594375610E-2,9.215163654E-2
2.605496150E-1,-1.036831290E-1,5.140066147E-2,2.058887482E-2,1.175419967E-1
2.707601540E-1,-9.951107204E-2,5.296039581E-2,1.969242096E-2,1.144335983E-1
2.799892300E-1,-1.750814617E-1,1.223134995E-2,3.232879639E-1,3.678562650E-1
2.901363840E-1,-1.744714528E-1,1.868104935E-2,3.196773529E-1,3.646681771E-1
3.001150000E-1,2.073667198E-2,3.505229950E-3,4.488658905E-1,4.493583023E-1
3.100054610E-1,2.071698010E-2,1.089859009E-2,4.447450638E-1,4.453606901E-1
3.199980000E-1,-9.846788645E-2,1.323747635E-2,1.513233185E-1,1.810245899E-1
3.303095380E-1,-2.596077509E-2,2.795505524E-2,9.425067902E-2,1.016790905E-1
3.403962300E-1,-2.353657223E-2,3.037214279E-2,9.289836884E-2,1.005313097E-1
3.499838460E-1,-5.681578070E-2,8.915901184E-2,1.003456116E-1,1.457621490E-1
3.600118460E-1,-5.583444610E-2,9.242534637E-2,9.853076935E-2,1.461788033E-1
3.700133070E-1,-3.153822944E-2,9.310865402E-2,1.770391464E-1,2.025012117E-1
3.800756150E-1,-4.915295541E-2,8.604335785E-2,1.940536499E-2,1.009754458E-1
3.900783840E-1,-4.658263177E-2,8.657979965E-2,1.910114288E-2,1.001541659E-1
3.999810770E-1,-1.353547722E-1,1.391677856E-1,-1.202354431E-1,2.283531228E-1
