"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.119213879E-1,8.167982101E-2,2.325530052E-1,3.975518150E-1
1.583069200E-2,2.617395520E-1,1.245527267E-1,7.555961609E-3,2.899621827E-1
2.963938500E-2,2.542334795E-1,1.214408875E-1,9.745597839E-3,2.819175907E-1
4.063784600E-2,1.843601614E-1,1.019139290E-1,2.677011490E-2,2.123481978E-1
4.964800000E-2,1.783130020E-1,1.003866196E-1,2.774715424E-2,2.065015851E-1
5.957838500E-2,4.753294587E-1,1.782894135E-2,-1.032433510E-1,4.867393091E-1
6.954153800E-2,5.244271755E-1,-3.075170517E-2,-1.172065735E-1,5.382442853E-1
8.171369200E-2,5.187693834E-1,-3.313970566E-2,-1.154956818E-1,5.325027378E-1
8.963769200E-2,3.117493391E-1,4.204273224E-2,-5.123629570E-1,6.012246182E-1
9.952138500E-2,3.087585568E-1,3.835439682E-2,-5.094723701E-1,5.969631497E-1
1.095320000E-1,1.185018718E-1,2.067136765E-2,-4.875531197E-1,5.021733202E-1
1.195432310E-1,1.168831885E-1,1.698684692E-2,-4.846024513E-1,4.987883003E-1
1.295389230E-1,1.982839406E-1,-5.463218689E-2,-4.933409691E-1,5.344965002E-1
1.402612310E-1,-7.102686167E-2,-1.669497490E-1,-6.731462479E-2,1.935156130E-1
1.495703080E-1,-7.422840595E-2,-1.660766602E-1,-6.815576553E-2,1.942589037E-1
1.595303850E-1,2.882179022E-1,-2.664637566E-1,2.956056595E-1,4.913809099E-1
1.695332310E-1,2.852301002E-1,-2.619471550E-1,2.917952538E-1,4.848886389E-1
1.795298460E-1,2.919178009E-1,-3.247261047E-1,3.492965698E-1,5.591700450E-1
1.895375380E-1,8.581155539E-2,-3.376421928E-1,6.618137360E-1,7.479059396E-1
1.998980770E-1,9.008762240E-2,-3.349294662E-1,6.597661972E-1,7.453757187E-1
2.095306920E-1,-8.538991213E-3,-2.584562302E-1,3.349223137E-1,4.231376768E-1
2.204550770E-1,-6.854027510E-3,-2.574038506E-1,3.341317177E-1,4.218385055E-1
2.295313850E-1,2.169665396E-1,-3.057379723E-1,2.556219101E-1,4.537540610E-1
2.395259230E-1,2.171984315E-1,-3.054380417E-1,2.553873062E-1,4.535308502E-1
2.497194610E-1,2.715968192E-1,-3.633198738E-1,4.294934273E-1,6.246845340E-1
2.595268460E-1,2.939564288E-1,-3.805122375E-1,3.250355721E-1,5.803861370E-1
2.696768460E-1,2.928698361E-1,-3.779277802E-1,3.228902817E-1,5.769404492E-1
2.795549230E-1,4.247968197E-1,-3.480353355E-1,3.574576378E-1,6.552533064E-1
2.897136920E-1,4.219205976E-1,-3.447132111E-1,3.546452522E-1,6.500903348E-1
2.995586150E-1,4.059664309E-1,-3.016228676E-1,1.190228462E-1,5.195686049E-1
3.096369230E-1,4.028381705E-1,-2.984662056E-1,1.163434982E-1,5.146809469E-1
3.195293080E-1,4.379344583E-1,-1.893887520E-1,5.674028397E-2,4.804936513E-1
3.295156920E-1,5.666923523E-1,-2.111635208E-1,7.600736618E-2,6.095140477E-1
3.395341540E-1,5.642551184E-1,-2.067513466E-1,7.234954834E-2,6.052804433E-1
3.495687690E-1,5.959637165E-1,-1.009964943E-1,2.342462540E-2,6.049146686E-1
3.600891540E-1,5.938466787E-1,-9.539556503E-2,1.883029938E-2,6.017547439E-1
